drug,type,effect_or_reason,source_method,raw_text
Clarithromycin,interaction,"Drug Interactions: Clarithromycin, carbamazepine, terfenadine, CYP3A, CYP3A, CYP3A, CYP3A, CYP3A, CYP3A, CYP3A, CYP3A, CYP3A, CYP3A, CYP3A, CYP3A, CYP3A, CYP3A, CYP3A, CYP3A, CYP3A, CYP3A, CYP3A, CYP3A, CYP3A, CYP3A, CYP3A, CYP3A, CYP3A, CYP3A, CYP3A, CYP3A, CYP3A,",LLM,drug interactions clarithromycin use patients receiving theophylline associated increase serum theophylline concentrations monitoring serum theophylline concentrations considered patients receiving high doses theophylline baseline concentrations upper therapeutic range studies theophylline administered clarithromycin theophylline sustained release formulation dosed 6 5 mg kg 12 mg kg 250 500 mg q12h clarithromycin steady state levels c max c min area serum concentration time curve auc theophylline increased 20 hypotension bradyarrhythmias lactic acidosis observed patients receiving concurrent verapamil belonging calcium channel blockers drug class concomitant administration single doses clarithromycin carbamazepine shown result increased plasma concentrations carbamazepine blood level monitoring carbamazepine considered clarithromycin terfenadine coadministered plasma concentrations active acid metabolite terfenadine threefold higher average values observed terfenadine administered pharmacokinetics clarithromycin 14 hydroxy clarithromycin significantly affected coadministration terfenadine clarithromycin reached steady state conditions concomitant administration clarithromycin terfenadine contraindicated contraindications clarithromycin 500 mg 8 hours given combination omeprazole 40 mg daily healthy adult subjects steady state plasma concentrations omeprazole increased c max auc 0 24 t 1 2 increases 30 89 34 respectively concomitant administration clarithromycin mean 24 hour gastric ph value 5 2 omeprazole administered 5 7 co administered clarithromycin co administration clarithromycin ranitidine bismuth citrate resulted increased plasma ranitidine concentrations 57 increased plasma bismuth trough concentrations 48 increased 14 hydroxy clarithromycin plasma concentrations 31 effects clinically insignificant simultaneous oral administration clarithromycin tablets zidovudine hiv infected adult patients result decreased steady state zidovudine concentrations following administration clarithromycin 500 mg tablets twice daily zidovudine 100 mg 4 hours steady state zidovudine auc decreased 12 compared administration zidovudine n 4 individual values ranged decrease 34 increase 14 clarithromycin tablets administered hours prior zidovudine steady state zidovudine c max increased 100 auc unaffected n 24 administration clarithromycin zidovudine separated hours impact co administration clarithromycin extended release tablets zidovudine evaluated simultaneous administration clarithromycin tablets didanosine 12 hiv infected adult patients resulted statistically significant change didanosine pharmacokinetics following administration fluconazole 200 mg daily clarithromycin 500 mg twice daily 21 healthy volunteers steady state clarithromycin c min auc increased 33 18 respectively steady state concentrations 14 oh clarithromycin significantly affected concomitant administration fluconazole dosage adjustment clarithromycin necessary co administered fluconazole ritonavir concomitant administration clarithromycin ritonavir n 22 resulted 77 increase clarithromycin auc 100 decrease auc 14 oh clarithromycin clarithromycin administered dosage adjustment patients normal renal function taking ritonavir concentrations 14 oh clarithromycin significantly reduced clarithromycin co administered ritonavir alternative antibacterial therapy considered indications infections mycobacterium avium complex precautions drug interactions doses clarithromycin greater 1000 mg day co administered protease inhibitors spontaneous reports post marketing period suggest concomitant administration clarithromycin oral anticoagulants potentiate effects oral anticoagulants prothrombin times carefully monitored patients receiving clarithromycin oral anticoagulants simultaneously digoxin substrate p glycoprotein pgp clarithromycin known inhibit pgp clarithromycin digoxin co administered inhibition pgp clarithromycin lead increased exposure digoxin elevated digoxin serum concentrations patients receiving clarithromycin digoxin concomitantly reported post marketing surveillance patients shown clinical signs consistent digoxin toxicity including potentially fatal arrhythmias monitoring serum digoxin concentrations considered especially patients digoxin concentrations upper therapeutic range co administration clarithromycin known inhibit cyp3a drug primarily metabolized cyp3a associated elevations drug concentrations increase prolong therapeutic adverse effects concomitant drug clarithromycin caution patients receiving treatment drugs known cyp3a enzyme substrates especially cyp3a substrate narrow safety margin e g carbamazepine substrate extensively metabolized enzyme dosage adjustments considered possible serum concentrations drugs primarily metabolized cyp3a monitored closely patients concurrently receiving clarithromycin following examples clinically significant cyp3a based drug interactions interactions drugs metabolized cyp3a isoform possible carbamazepine terfenadine increased serum concentrations carbamazepine active acid metabolite terfenadine observed clinical trials clarithromycin colchicine colchicine substrate cyp3a efflux transporter p glycoprotein pgp clarithromycin macrolides known inhibit cyp3a pgp single dose colchicine 0 6 mg administered clarithromycin 250 mg bid 7 days colchicine c max increased 197 auc0 increased 239 compared administration colchicine dose colchicine reduced co administered clarithromycin patients normal renal hepatic function concomitant use clarithromycin colchicine contraindicated patients renal hepatic impairment warnings efavirenz nevirapine rifampicin rifabutin rifapentine inducers cyp3a enzymes efavirenz nevirapine rifampicin rifabutin rifapentine increase metabolism clarithromycin decreasing plasma concentrations clarithromycin increasing 14 oh clarithromycin microbiological activities clarithromycin 14 ohclarithromycin different different bacteria intended therapeutic effect impaired concomitant administration clarithromycin enzyme inducers alternative antibacterial treatment considered treating patients receiving inducers cyp3a sildenafil tadalafil vardenafil phosphodiesterase inhibitors primarily metabolized cyp3a cyp3a inhibited concomitant administration clarithromycin co administration clarithromycin sildenafil tadalafil vardenafil result increased exposure phosphodiesterase inhibitors coadministration phosphodiesterase inhibitors clarithromycin recommended tolterodine primary route metabolism tolterodine cyp2d6 subset population devoid cyp2d6 identified pathway metabolism cyp3a population subset inhibition cyp3a results significantly higher serum concentrations tolterodine tolterodine 1 mg twice daily recommended patients deficient cyp2d6 activity poor metabolizers co administered clarithromycin triazolobenzodiazepines e g alprazolam midazolam triazolam single dose midazolam co administered clarithromycin tablets 500 mg twice daily 7 days midazolam auc increased 174 intravenous administration midazolam 600 oral administration oral midazolam co administered clarithromycin dose adjustments necessary possible prolongation intensity effect anticipated caution appropriate dose adjustments considered triazolam alprazolam co administered clarithromycin benzodiazepines metabolized cyp3a e g temazepam nitrazepam lorazepam clinically important interaction clarithromycin unlikely post marketing reports drug interactions central nervous system cns effects e g somnolence confusion concomitant use clarithromycin triazolam monitoring patient increased cns pharmacological effects suggested atazanavir clarithromycin atazanavir substrates inhibitors cyp3a evidence bidirectional drug interaction following administration clarithromycin 500 mg twice daily atazanavir 400 mg daily clarithromycin auc increased 94 14 oh clarithromycin auc decreased 70 atazanavir auc increased 28 clarithromycin co administered atazanavir dose clarithromycin decreased 50 concentrations 14 oh clarithromycin significantly reduced clarithromycin co administered atazanavir alternative antibacterial therapy considered indications infections mycobacterium avium complex precautions drug interactions doses clarithromycin greater 1000 mg day co administered protease inhibitors itraconazole clarithromycin itraconazole substrates inhibitors cyp3a potentially leading bidirectional drug interaction administered concomitantly clarithromycin increase plasma concentrations itraconazole itraconazole increase plasma concentrations clarithromycin patients taking itraconazole clarithromycin concomitantly monitored closely signs symptoms increased prolonged adverse reactions saquinavir clarithromycin saquinavir substrates inhibitors cyp3a evidence bidirectional drug interaction following administration clarithromycin 500 mg bid saquinavir soft gelatin capsules 1200 mg tid 12 healthy volunteers steady state saquinavir auc c max increased 177 187 respectively compared administration saquinavir clarithromycin auc c max increased 45 39 respectively 14 oh clarithromycin auc c max decreased 24 34 respectively compared administration clarithromycin dose adjustment clarithromycin necessary clarithromycin co administered saquinavir patients normal renal function saquinavir co administered ritonavir consideration given potential effects ritonavir clarithromycin refer interaction clarithromycin ritonavir precautions drug interactions following cyp3a based drug interactions observed erythromycin products clarithromycin post marketing experience antiarrhythmics postmarketing reports torsades de pointes occurring concurrent use clarithromycin quinidine disopyramide electrocardiograms monitored qtc prolongation coadministration clarithromycin drugs serum concentrations medications monitored ergotamine dihydroergotamine post marketing reports indicate coadministration clarithromycin ergotamine dihydroergotamine associated acute ergot toxicity characterized vasospasm ischemia extremities tissues including central nervous system concomitant administration clarithromycin ergotamine dihydroergotamine contraindicated contraindications triazolobenzodiazepines triazolam alprazolam related benzodiazepines midazolam erythromycin reported decrease clearance triazolam midazolam increase pharmacologic effect benzodiazepines post marketing reports drug interactions cns effects e g somnolence confusion concomitant use clarithromycin triazolam sildenafil viagra erythromycin reported increase systemic exposure auc sildenafil similar interaction occur clarithromycin reduction sildenafil dosage considered viagra package insert spontaneous published reports cyp3a based interactions erythromycin clarithromycin cyclosporine carbamazepine tacrolimus alfentanil disopyramide rifabutin quinidine methylprednisolone cilostazol bromocriptine vinblastine concomitant administration clarithromycin cisapride pimozide astemizole terfenadine contraindicated contraindications addition reports interactions erythromycin clarithromycin drugs thought metabolized cyp3a including hexobarbital phenytoin valproate
Clarithromycin,contraindication,"Clarithromycin, contraindication, Colchicine Clarithromycin, contraindication, Cardiac arrhythmias Clarithromycin, drugA, DrugB, HMG-CoA reductase inhibitors (statins)",LLM,contraindications clarithromycin contraindicated patients known hypersensitivity clarithromycin excipients erythromycin macrolide antibiotics clarithromycin contraindicated patients history cholestatic jaundice hepatic dysfunction associated prior use clarithromycin concomitant administration clarithromycin following drugs contraindicated cisapride pimozide astemizole terfenadine ergotamine dihydroergotamine drug interactions post marketing reports drug interactions clarithromycin erythromycin co administered cisapride pimozide astemizole terfenadine resulting cardiac arrhythmias qt prolongation ventricular tachycardia ventricular fibrillation torsades de pointes likely inhibition metabolism drugs erythromycin clarithromycin fatalities reported concomitant administration clarithromycin colchicine contraindicated patients renal hepatic impairment clarithromycin given patients history qt prolongation ventricular cardiac arrhythmia including torsades de pointes clarithromycin concomitantly hmg coa reductase inhibitors statins extensively metabolized cyp3a4 lovastatin simvastatin increased risk myopathy including rhabdomyolysis warnings information contraindications drugs indicated combination clarithromycin refer contraindications section package inserts
Methocarbamol,interaction,"Methocarbamol, drug, Pyidostigmine bromide; Methocarbamol, activeInhibition, Anticholinesterase Agents; Methocarbamol, possibleInhibition, Anticholinesterase Agents; Methocarbamol, activeInhibition, Anticholinesterase Agents",LLM,drug interactions warnings precautions interaction cns drugs alcohol methocarbamol inhibit effect pyridostigmine bromide methocarbamol caution patients myasthenia gravis receiving anticholinesterase agents
Methocarbamol,contraindication,"Methocarbamol, USP, is contraindicated in patients hypersensitive to methocarbamol, or to any of the tablet components",LLM,contraindications methocarbamol tablets usp contraindicated patients hypersensitive methocarbamol tablet components
NP Thyroid 120,interaction,"Oral Anticoagulants, clotting factor synthesis, impaired, insulin, oral hypoglycemics, thyroid replacement therapy, thyroxine-binding globulin; thyroxine, oral contraceptives, estrogens, thyroid replacement therapy; thyroxine, oral contraceptives, estrogens, thyroid replacement therapy",LLM,drug interactions oral anticoagulants thyroid hormones appear increase catabolism vitamin k dependent clotting factors oral anticoagulants given compensatory increases clotting factor synthesis impaired patients stabilized oral anticoagulants found require thyroid replacement therapy watched closely thyroid started patient truly hypothyroid likely reduction anticoagulant dosage required special precautions appear necessary oral anticoagulant therapy begun patient stabilized maintenance thyroid replacement therapy insulin oral hypoglycemics initiating thyroid replacement therapy cause increases insulin oral hypoglycemic requirements effects seen poorly understood depend variety factors dose type thyroid preparations endocrine status patient patients receiving insulin oral hypoglycemics closely watched initiation thyroid replacement therapy cholestyramine colestipol cholestyramine colestipol binds t 4 t 3 intestine impairing absorption thyroid hormones vitro studies indicate binding easily removed hours elapse administration cholestyramine thyroid hormones estrogen oral contraceptives estrogens tend increase serum thyroxine binding globulin tbg patient nonfunctioning thyroid gland receiving thyroid replacement therapy free levothyroxine decreased estrogens started increasing thyroid requirements patient s thyroid gland sufficient function decreased free levothyroxine result compensatory increase levothyroxine output thyroid patients functioning thyroid gland thyroid replacement therapy need increase thyroid dose estrogens estrogen containing oral contraceptives given
NP Thyroid 120,contraindication,"Thyroid hormone, contraindication, Untreated thyrotoxicosis; Thyroid hormone, active, ""Acid"" or ""Extraneous""; Thyroid hormone, dose, ""General""; Thyroid hormone, active, ""Acid"" or ""Extraneous""; Thyroid hormone, dose, ""General""",LLM,contraindications thyroid hormone preparations generally contraindicated patients diagnosed uncorrected adrenal cortical insufficiency untreated thyrotoxicosis apparent hypersensitivity active extraneous constituents documented evidence literature true allergic idiosyncratic reactions thyroid hormone
Plavix,interaction,"CYP2C19 Inhibitors, DrugInitiation, DrugInitiation, DrugInitiation, DrugInitiation, DrugInitiation, DrugInitiation, DrugInitiation, DrugInitiation, DrugInitiation, DrugInitiation, DrugInitiation, DrugInitiation, DrugInitiation, DrugInitiation, DrugInitiation, DrugInitiation, DrugInitiation, DrugInitiation, DrugInitiation, DrugInitiation, DrugInitiation, DrugInitiation, DrugInitiation, DrugInitiation, DrugInitiation, DrugInitiation, DrugInitiation, DrugInitiation, DrugInitiation, DrugInitiation, DrugInitiation, DrugIniti",LLM,7 drug interactions cyp2c19 inhibitors e g omeprazole avoid concomitant use 7 1 nonsteroidal anti inflammatory drugs nsaids combination use increases risk gastrointestinal bleeding 7 2 warfarin combination use increases risk bleeding 7 3 7 1 cyp2c19 inhibitors clopidogrel metabolized active metabolite cyp2c19 concomitant use drugs inhibit activity enzyme results reduced plasma concentrations active metabolite clopidogrel reduction platelet inhibition avoid concomitant use drugs inhibit cyp2c19 e g omeprazole warnings precautions 5 1 clinical pharmacology 12 5 omeprazole crossover clinical study 72 healthy subjects administered plavix 300 mg loading dose followed 75 mg day omeprazole 80 mg time plavix 5 days exposure active metabolite clopidogrel decreased 46 day 1 42 day 5 plavix omeprazole administered mean inhibition platelet aggregation diminished 47 24 hours 30 day 5 plavix omeprazole administered study 72 healthy subjects given doses plavix omeprazole drugs administered 12 hours apart results similar indicating administering plavix omeprazole different times prevent interaction warnings precautions 5 1 7 2 nonsteroidal anti inflammatory drugs nsaids coadministration plavix nsaids increases risk gastrointestinal bleeding 7 3 warfarin cyp2c9 substrates administration clopidogrel 75 mg day modify pharmacokinetics s warfarin cyp2c9 substrate inr patients receiving long term warfarin therapy coadministration plavix warfarin increases risk bleeding independent effects hemostasis high concentrations vitro clopidogrel inhibits cyp2c9
Plavix,contraindication,"[TABLECONTEXT] [TITLE] Active pathological bleeding, such as peptic ulcer or intracranial hemorrhage; [TABLECONTEXT] [TITLE] Plavix; [TABLECONTEXT] INDIVIDUAL_BLOOD, Active pathological bleeding, such as peptic ulcer or intracranial hemorrhage; [TABLECONTEXT] INDIVIDUAL_BLOOD, Hypersensitivity to clopidogrel; [TABLECONTEXT] INDIVIDUAL_BLOOD, Active pathological bleeding, such as peptic ulcer or intracranial hemorrhage; [TABLECONTEXT] INDIVIDUAL_BLOOD, Hypersensitivity to clopidogrel",LLM,4 contraindications active pathological bleeding peptic ulcer intracranial hemorrhage 4 1 hypersensitivity clopidogrel component product 4 2 4 1 active bleeding plavix contraindicated patients active pathological bleeding peptic ulcer intracranial hemorrhage 4 2 hypersensitivity plavix contraindicated patients hypersensitivity e g anaphylaxis clopidogrel component product adverse reactions 6 2
Desmopressin,interaction,"Desmopressin acetate, drugInfluenza, DrugInteractions, Other Pressor Agents; Desmopressin acetate, pressor, Low",LLM,drug interactions pressor activity desmopressin acetate low compared antidiuretic activity large doses desmopressin acetate tablets pressor agents careful patient monitoring
Desmopressin,contraindication,"Desmopressin acetate, contraindication, Hyponatremia; Desmopressin acetate, activeInhibition, Hypersensitivity; Desmopressin acetate, activeDrugA, DrugB",LLM,contraindications desmopressin acetate tablets contraindicated individuals known hypersensitivity desmopressin acetate components desmopressin acetate tablets desmopressin acetate contraindicated patients moderate severe renal impairment defined creatinine clearance 50ml min desmopressin acetate contraindicated patients hyponatremia history hyponatremia
Polymyxin B Sulfate and Trimethoprim,contraindication,"Drugs, contraindications",LLM,contraindications
